particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,0,0,0,0,2.21469402,-2.70683932,0.872573674,0.105658375,-1
4503599660924928,-13,0,0,0,0,0,-1.34726262,-0.913478911,-6.6539278,0.105658375,1
4503599677702144,-13,0,0,0,0,0,-0.020997528,0.755690515,3.36911869,0.105658375,1
4503599694479360,-13,0,0,0,0,0,-1.83473516,-2.51603174,-11.1391382,0.105658375,1
4503599711256576,13,0,0,0,0,0,2.38831973,-3.60003924,36.4322395,0.105658375,-1
4503599728033792,13,0,0,0,0,0,2.10325885,-2.13613129,-1.31778085,0.105658375,-1
4503599744811008,-13,0,0,0,0,0,3.94093156,2.24786925,-6.94724083,0.105658375,1
4503599761588224,-13,0,0,0,0,0,-1.18435895,2.08158398,-0.807458341,0.105658375,1
4503599778365440,13,0,0,0,0,0,-3.2098403,-3.7048254,28.2476749,0.105658375,-1
4503599795142656,-13,0,0,0,0,0,3.97080994,-0.928947151,-19.9141254,0.105658375,1
4503599811919872,13,0,0,0,0,0,2.2520709,-0.684468389,10.3851805,0.105658375,-1
4503599828697088,-13,0,0,0,0,0,-0.4233464,4.62957335,30.9251518,0.105658375,1
4503599845474304,-13,0,0,0,0,0,0.620691359,2.2352457,22.3560696,0.105658375,1
4503599862251520,-13,0,0,0,0,0,-1.14745283,3.010499,8.1316843,0.105658375,1
4503599879028736,13,0,0,0,0,0,-0.330875814,-2.27242374,2.77326536,0.105658375,-1
4503599895805952,13,0,0,0,0,0,0.0811639279,-0.495017558,1.71815574,0.105658375,-1
4503599912583168,13,0,0,0,0,0,1.28147471,3.87439728,-6.59903765,0.105658375,-1
4503599929360384,-13,0,0,0,0,0,-3.80229568,2.65545654,6.85230827,0.105658375,1
4503599946137600,13,0,0,0,0,0,-0.589776814,1.4822675,0.883138299,0.105658375,-1
4503599962914816,13,0,0,0,0,0,3.10691738,-0.139252454,17.1888504,0.105658375,-1
